paragraphs,link
"When you use AI21 Studio via the API or the interactive web environment, your usage is metered for billing. You can track your usage and expected payments in the account page. Two types of activity are metered:",https://docs.ai21.com/docs/calculating-usage
Requests - Every time you generate a completion in our website or post a complete request via the API.,https://docs.ai21.com/docs/calculating-usage
"Generated tokens - The total number of all completion tokens you generate. For example, assume you post a complete request for J1-Jumbo with a prompt consisting of 10 tokens and requiring 3 completions, i.e. numResults = 3, and the model generates completions with 5, 15, and 20 tokens. In total this request will consume 5+15+20=40 generated tokens.",https://docs.ai21.com/docs/calculating-usage
You are encouraged to use the maxTokens and stopSequences parameters to avoid generating unnecessary tokens and make your usage as efficient as possible.,https://docs.ai21.com/docs/calculating-usage
"The Summarize API of AI21 Studio provides you access to our state-of-the-art summarization engine. It was designed specifically for summary purposes and has been fine-tuned for that task. Consequently, it's easier to integrate into your systems, and since it's optimized for this objective - it's also more efficient (and therefore cheaper) than building it from scratch.",https://docs.ai21.com/docs/summarization-summarize
"This API takes a long piece of text and returns a summary of the text. It supports input text up to 10,000 characters long. For longer texts, you can combine it with our Slice API to summarize the text slice-by-slice.",https://docs.ai21.com/docs/summarization-summarize
"AI21 Studio’s Slice API divides a piece of text into slices. Slices focus on distinct topics and are typically a few hundred characters long, similar to a paragraph. Therefore, slices make good inputs for Summarize API, allowing you to summarize long texts slice-by-slice.",https://docs.ai21.com/docs/summarization-summarize
"The example below shows a typical flow for summarizing texts longer than Summarize APIs 10,000 character limit. First, we call Slice and get a list of slices. Second, we iterate through the list and perform a Summarize call to summarize each slice. We print the summaries in order to form a summary of the entire document.",https://docs.ai21.com/docs/summarization-summarize
"AI21 Studio provides open access to state-of-the-art language models that can be used to power a large variety of useful applications. We believe it is important to ensure that this technology is used in a responsible way, while allowing developers the freedom they need to experiment rapidly and deploy solutions at scale.",https://docs.ai21.com/docs/responsible-use
"In order to use AI21 Studio, you are required to comply with our Terms of Use and with the following usage guidelines. Provided you comply with these requirements, you may use AI21 Studio to power applications with live users without any additional approval. We reserve the right to limit or suspend your access to AI21 Studio at any time where we believe these terms or guidelines are violated.",https://docs.ai21.com/docs/responsible-use
"Please check these usage guidelines periodically, as they may be updated from time to time. For any questions, clarifications or concerns, please contact [email protected].",https://docs.ai21.com/docs/responsible-use
AI21 Studio must not be used for any of the following activities:,https://docs.ai21.com/docs/responsible-use
"Your application may present content generated by AI21 Studio directly to humans (e.g., chatbots, content generation tools, etc). In this case, you are required to ensure the following:",https://docs.ai21.com/docs/responsible-use
No content generated by AI21 Studio will be posted automatically (without human intervention) to any public website or platform where it may be viewed by an audience greater than 100 people.,https://docs.ai21.com/docs/responsible-use
"This means that you can use AI21 Studio to build a bot for your team’s 7-person Slack channel. In contrast, you are not allowed to build a Twitter bot, unless each tweet is checked by a human before it is posted. You can build a customer service bot that interacts with any number of customers, assuming it's chatting with each human separately in a 1:1 conversation.",https://docs.ai21.com/docs/responsible-use
"The Rewrite API of AI21 Studio provides you access to our state-of-the-art paraphrasing engine. It was designed specifically for paraphrasing purposes and has been fine-tuned for that task. Consequently, it's easier to integrate into your systems, and since it's optimized for this objective - it's also more efficient (and therefore cheaper) than building it from scratch.",https://docs.ai21.com/docs/paraphrasing-rewrite
"This API takes a piece of text and returns a list of paraphrases that convey the same meaning using different words. As a specialized API for paraphrasing, it contains features to enable you more control over the output: adjust the tone and rewrite only parts of a text (while keeping the whole context).",https://docs.ai21.com/docs/paraphrasing-rewrite
"By specifying an (optional) intent, you can generate paraphrases that are longer, shorter, more formal or more casual than the original text. You can rewrite a specific span while keeping the surrounding text unchanged by passing spanStart and spanEnd (also optional).",https://docs.ai21.com/docs/paraphrasing-rewrite
Spans are expected to align with full words. Paraphrasing spans that start or end in the middle of a word will result in unexpected behavior (usually - no suggestions returned).,https://docs.ai21.com/docs/paraphrasing-rewrite
The Rewrite API aims to rewrite exactly the requested span while avoiding disfluent suggestions. Satisfying both requirements is not always possible.,https://docs.ai21.com/docs/paraphrasing-rewrite
"If you don’t have enough pre-existing training data, you can use prompt engineering on top of J1 models to efficiently generate more data. Assuming you’ve already created a prompt with just a few examples that works well for your task, you can leverage it in one of two ways:",https://docs.ai21.com/docs/collecting-data
"If you have examples of inputs that represent your use-case, feed them to J1 with your prompt, and collect the outputs generated by the model. The pairs of inputs and generated outputs will be your training set. Note that you can often collect relevant input examples relatively easily, either from public sources on the web or from your own data.",https://docs.ai21.com/docs/collecting-data
"If you don’t have access to relevant input examples, you can let J1 generate both the inputs and the outputs. Feed J1 with a sequence of examples (input #1, output #1, input #2, output #2 and so on) and let it generate more examples. This tends to work well for short inputs, up to a few sentences long, but may result in a higher rate of bad examples for longer inputs (e.g. whole articles).",https://docs.ai21.com/docs/collecting-data
"In any case, the first human to view text generated by AI21 Studio must not be led to believe that it was written by a human.",https://docs.ai21.com/docs/responsible-use
"If you’re building a copywriting tool for marketing professionals, your users must be informed that the text proposed to them is machine generated. They are then free to use and present it as their own, at their discretion. As another example, if you’re building a chatbot, it must be clear to your users that they are corresponding with a machine rather than a live human.",https://docs.ai21.com/docs/responsible-use
"Language models such as those accessible via AI21 Studio may generate inappropriate, biased, offensive or otherwise harmful content (see our technical paper for an evaluation of bias in our models). If your application is used by more than 100 people per month, you must provide a method for users to report generated text as harmful. You should monitor these reports and respond to them appropriately.",https://docs.ai21.com/docs/responsible-use
"You can build a demo, launch a closed beta, etc. without any special requirements, as long as it is accessed by fewer than 100 users per month. Once you exceed 100 monthly users, you must implement a “flag as inappropriate” button or some similar functionality to collect negative feedback.",https://docs.ai21.com/docs/responsible-use
"Except when using custom models, the prompt text for any completion request must contain at least 60 characters of text (about 10 words) not written by your users. This text should be crafted by you to produce the desired functionality for the user.",https://docs.ai21.com/docs/responsible-use
"Language models such as those accessible via AI21 Studio can generate content that is biased against particular groups of people. You may not use AI21 Studio to power automated decision making where individuals may be denied benefits, refused access to a service or otherwise have their wellbeing substantially harmed based on protected characteristics.",https://docs.ai21.com/docs/responsible-use
"AI21 Studio must not be used to classify or profile people based on protected characteristics (like racial or ethnic background, religion, political views, or private health data).",https://docs.ai21.com/docs/responsible-use
"For example, consider the sentence “This is a flat out bad example”. Paraphrasing the word “flat” alone in this sentence without violating fluency is not possible, because “flat” is part of the term “flat out”. Paraphrasing “flat” alone is kind of like trying to paraphrase half a word. Cases like this usually return few or no suggestions.",https://docs.ai21.com/docs/paraphrasing-rewrite
Consider the following example:,https://docs.ai21.com/docs/paraphrasing-rewrite
You can see that the part until spanStart remains the same.,https://docs.ai21.com/docs/paraphrasing-rewrite
"The spanStart can be either the character you wish to paraphrase from, or a whitespace before it (in this case, it would have worked with spanStart=115 as well).",https://docs.ai21.com/docs/paraphrasing-rewrite
"The process above is illustrated step-by-step in our blog post. Using J1-Jumbo or J1-Grande rather than J1-Large is recommended for generating synthetic training data, since it typically produces higher quality results with prompt engineering.",https://docs.ai21.com/docs/collecting-data
"We recommend you review and validate the generated content (or at least a sample from it) before training a custom model, to make sure the data properly captures the desired behavior. Watch out for incorrect, corrupted or toxic generations, as including these in the training data will negatively affect the resulting custom model. If you find such bad examples, amend them manually or simply exclude them from the training data.",https://docs.ai21.com/docs/collecting-data
"To train a new model, simply follow these steps:",https://docs.ai21.com/docs/training-custom-models
"Your new model will now begin training. You'll see that it's added to the table under the Models tab with its status indicating ""Training"". Once the model is trained, it is immediately deployed and available for you to use.",https://docs.ai21.com/docs/training-custom-models
"You can generate a text completion for a given text prompt by posting an HTTP request to the complete endpoint corresponding to the desired language model to use. The request contains the input text, called a prompt and various parameters controlling the generation. For authentication, you must include your API key in the request headers. A complete response contains the tokenized prompt, the generated text(s), called completion(s), and various metadata.",https://docs.ai21.com/reference/completion
"The response is a nested data structure as described below. At its top level, the response has the following fields:",https://docs.ai21.com/reference/completion
A unique string id for the processed request. Repeated identical requests get different ids.,https://docs.ai21.com/reference/completion
"The prompt, including the raw text, the tokens with their logprobs and the top-K alternative tokens at each position, if requested.",https://docs.ai21.com/reference/completion
Has two nested fields:,https://docs.ai21.com/reference/completion
"List of completions, including raw text, tokens and logprobs. The number of completions corresponds to requested numResults.",https://docs.ai21.com/reference/completion
Each completions has two nested fields:,https://docs.ai21.com/reference/completion
"Both the prompt and each of the completions provide lists of TokenData, where each entry describes a token and, if requested, its top-K alternatives. An instance of TokenData contains the following fields:",https://docs.ai21.com/reference/completion
Has two nested fields:,https://docs.ai21.com/reference/completion
"A list of the top K alternative tokens for this position, sorted by probability, according to the topKReturn request parameter, or null if topKReturn=0.",https://docs.ai21.com/reference/completion
Each token in the list has a token (string) field and a logprob (float) field.,https://docs.ai21.com/reference/completion
The start and end offsets of this token in the decoded text string.,https://docs.ai21.com/reference/completion
"Based on the 17B parameter model Jurassic-1 Grande, Jurassic-1 Instruct was trained specifically to handle instructions-only prompts (""zero-shot"") without examples (""few-shot""). It is the most natural way to interact with large language models, and it is the best way to get a sense of the optimal output for your task without any examples.",https://docs.ai21.com/docs/jurassic-1-instruct-beta
"Below is an example of the difference between Jurassic-1 Instruct and Jurassic-1 Grande to a zero-shot prompt. While instruct provides a natural answer, non-instruct Grande starts with a relevant answer, but doesn't stop in time.",https://docs.ai21.com/docs/jurassic-1-instruct-beta
"There is really only one tip: make sure the instruction ends in a clear way, whether with a punctuation mark (such as ""."", "":"", ""?"" or a newline) or through clear wording.",https://docs.ai21.com/docs/jurassic-1-instruct-beta
A few good prompt examples for inspiration are provided below.,https://docs.ai21.com/docs/jurassic-1-instruct-beta
"As the beta tag suggests, we are constantly working on improving this model, and better versions will be updated in the near future.",https://docs.ai21.com/docs/jurassic-1-instruct-beta
"Using AI21 Studio, you can train and query your own custom versions of J1 models. Custom models are fine-tuned for optimal performance on a training set of examples representing a specific task.",https://docs.ai21.com/docs/custom-models
"Custom models can be trained to perform virtually any language task. Use-cases include generating marketing copy, powering chatbots and assisting creative writing.",https://docs.ai21.com/docs/custom-models
"You can train custom models based on either J1-Large, J1-Grande or J1-Jumbo and pick your desired cost/quality trade-off.",https://docs.ai21.com/docs/custom-models
"Given a sufficient number of training examples, custom J1 models exceed the quality attainable with general purpose models and prompt engineering. For many use-cases, you can expect custom models to begin outperforming prompt engineering with as few as 50-100 examples. To learn more, read our case study blog post, where we address a specific language task, using both general-purpose models and custom models.",https://docs.ai21.com/docs/custom-models
"Furthermore, custom models derive their quality from the training data you provide; adding more, higher quality examples will improve results. This means you can continuously refine your custom model by curating high quality data for your task.",https://docs.ai21.com/docs/custom-models
"The training process bakes the task-specific behavior into the custom model. This means your prompts no longer need to include elaborate instructions and examples designed to guide a general purpose model to perform the desired task. Instead, your prompts only needs to include the specific input you'd like to handle, reducing the amount of text that gets processed and decreasing latency.",https://docs.ai21.com/docs/custom-models
"One potential safety risk of large language models is deliberate misuse by malicious users of your application, exploiting its access to Jurassic-1 to generate text for their malicious purposes. Adversaries may attempt to achieve this via “prompt injection”, where the end-user’s input text is crafted to alter the normal behavior of the model. Custom models are less susceptible to such attacks than general-purpose models, offering a significant safety advantage when deployed in production. For more information, read our case study blog post.",https://docs.ai21.com/docs/custom-models
There are two parts to the training process:,https://docs.ai21.com/docs/custom-models
"Jurassic-1 (J1) is the first generation in a series of large language models trained and made widely accessible by AI21 Labs. There are three versions of Jurassic-1, differing by size:",https://docs.ai21.com/docs/complete-api
"A complete description of Jurassic-1, including benchmarks and quantitative comparisons with other models, can be found in our technical paper.",https://docs.ai21.com/docs/complete-api
"All J1 models were trained on a massive corpus of English text, making them highly versatile general purpose text-generators, capable of composing human-like text and solving complex tasks such as question answering, text classification and many others.",https://docs.ai21.com/docs/complete-api
"J1 can be applied to virtually any language task by crafting a suitable prompt, containing a description of the task and/or a few examples, a process commonly known as “prompt engineering”. If you’re looking for inspiration, you can find example use-cases implemented with prompt engineering in our blog post. Popular use-cases include generating marketing copy, powering chatbots and assisting creative writing.",https://docs.ai21.com/docs/complete-api
"With trial and error, you should be able to bootstrap a prompt that produces good results for your use-case. However, to achieve even better quality and scale-up your app, we recommend that you train a custom model.",https://docs.ai21.com/docs/complete-api
"You can generate a text completion for a given text prompt by posting an HTTP request to the complete endpoint corresponding to the desired language model to use. The request contains the input text, called a prompt and various parameters controlling the generation. For authentication, you must include your API key in the request headers. A complete response contains the tokenized prompt, the generated text(s), called completion(s), and various metadata.",https://docs.ai21.com/docs/complete-api
The request and response specifications are documented in full here. See the following example for a complete request to j1-large and corresponding response:,https://docs.ai21.com/docs/complete-api
"The simplest way to structure the training data is where the prompt for each individual training example contains only the text input for that example. Note that this is different from a few-shot prompt engineering for a general purpose model, where the prompt contains a sequence of examples of valid inputs and outputs.",https://docs.ai21.com/docs/best-practices
"In any case, the combined length of the prompt and completion must not exceed 2047 tokens or approximately 6000 characters of English text. If you include longer examples, you will encounter an error after uploading the file.",https://docs.ai21.com/docs/best-practices
"For best results, we recommend implementing the following guidelines for the prompt and completion. All the snippets below assume jsonl format, but the same guidelines are applicable to csv.",https://docs.ai21.com/docs/best-practices
Either of these helps avoid complications due to tokenization. Don’t mix and match; pick one and stick with it for all examples in the training set. See examples below:,https://docs.ai21.com/docs/best-practices
"You should clearly mark the boundary between the prompt and the completion. A minimal way to do this is to insert a separator at the end of each prompt. You can use any simple, distinct sequence, such as ## on a new line.",https://docs.ai21.com/docs/best-practices
"It is often a good idea to take this a step further by using titles. You can append a title that describes the input to the beginning of the prompt, and another title that describes the output to the end of the prompt (in place of the separator). The titles can be short, but it usually helps to pick straightforward titles that are not generic and relate to the content of the input and output.",https://docs.ai21.com/docs/best-practices
"Again, it’s important to be consistent. Pick one style and stick with it. If you use titles, they should be the same in all training examples. In any case, keep in mind the first guideline and either end the prompt with a newline or start the completion with a whitespace.",https://docs.ai21.com/docs/best-practices
See a few examples below:,https://docs.ai21.com/docs/best-practices
"Adding a short instruction that explains the task to each prompt often improves results. As before, stay consistent and use the same instruction in all examples.",https://docs.ai21.com/docs/best-practices
"Duplicate entries are detrimental to the training, so we recommend removing them.",https://docs.ai21.com/docs/best-practices
Don't have enough examples?,https://docs.ai21.com/docs/best-practices
"Make sure you don't duplicate existing examples to reach 50 examples. If you do not have more examples, you can use AI21 Studio to generate some based on the ones you do have.",https://docs.ai21.com/docs/best-practices
"You can also train a custom model to perform tasks that have more than one input. Simply combine all the inputs into the prompt, with an appropriate title for each input. For example, consider a model trained to generate short ads for cars from a list of technical specifications. The different fields can be organized in a template as in the following example:",https://docs.ai21.com/docs/best-practices
"To train a custom model, you will need to collect a dataset of training examples. Each example consists of a prompt, which is a valid input text, and a completion, which is a correct output for that specific prompt.",https://docs.ai21.com/docs/training-data
"At least 50 training examples are required to train a custom model. If you upload a file that contains fewer than 50 examples, you will encounter an error. More is better - so provide as many examples as you can.",https://docs.ai21.com/docs/training-data
"No! Data quality and diversity matter as well, so it’s a good idea to go over your examples manually and make sure they accurately capture various aspects of your task. It's critical that your examples reflect the real-world distribution of your problem.",https://docs.ai21.com/docs/training-data
The dataset must be submitted in a single csv or jsonl file. We recommend using jsonl due to better handling of line breaks.,https://docs.ai21.com/docs/training-data
"If you are submitting a csv file, it should have two columns labeled ""prompt"" and ""completion"". Each row should contain a single training example, with no empty rows in between.",https://docs.ai21.com/docs/training-data
"If you are submitting a jsonl file, each line in the file should be a json dictionary with two fields, ""prompt"" and ""completion"".",https://docs.ai21.com/docs/training-data
Below is a simple example for both csv and jsonl formats:,https://docs.ai21.com/docs/training-data
Uploading a file with fewer than 2 columns or with inconsistent columns in different lines will result in an error.,https://docs.ai21.com/docs/training-data
"You may upload files with different column names, in which case you will be prompted to identify the desired prompt column and the desired completion column.",https://docs.ai21.com/docs/training-data
prompts can be empty.,https://docs.ai21.com/docs/training-data
"Logit biases can be used to promote or suppress the generation of specific tokens. This is accomplished by adding a bias term to each token's respective logits, where a positive bias increases generation probability a negative bias decreases it.",https://docs.ai21.com/docs/logit-bias
"Note that logit bias operates at the token level, so you must refer to valid tokens in the Jurassic-1 vocabulary, otherwise the API returns an error. Watch out for whitespaces which are replaced with a special underscore character in our string representation of tokens (see here).",https://docs.ai21.com/docs/logit-bias
"The following example introduces a large negative bias to avoid generating the expected continuation ""a box of"":",https://docs.ai21.com/docs/logit-bias
An appropriate dataset for training such model would look like the following:,https://docs.ai21.com/docs/best-practices
"The ▁ or \u2581 character in the tokens is used by our tokenizer to substitute a single whitespace or tab symbol. Sequences of 2 and 4 consecutive spaces (either regular whitespaces or tabs) have their own tokens, ▁▁ and ▁▁▁▁ respectively.",https://docs.ai21.com/docs/special-tokens-and-whitespaces
"Note that since tokenization adds a dummy space at the start of each line for consistency, the result text is not simply a concatenation of all tokens with ▁ replaced with a space. For example:",https://docs.ai21.com/docs/special-tokens-and-whitespaces
"Each token's textRange field can be used to map it to its corresponding span in the result text. Note that the text field of the prompt in the response may differ from the text sent in the request, if it contains special symbols which behave differently after tokenization. In this case the textRange fields always refer to the text in the response.",https://docs.ai21.com/docs/special-tokens-and-whitespaces
"Repetition penalties can be used to counteract the model's tendency to repeat prompt text verbatim and/or get stuck in a loop. This is accomplished by adjusting the token probabilities at each generation step, such that tokens that already appeared in the text (either in the prompt or in the completion) are less likely to be generated again.",https://docs.ai21.com/docs/repetition-penalties
"There are three kinds of repetition penalties: presencePenalty, countPenalty and frequencyPenalty. One or more penalty can be used, and the magnitude of each can be controlled independently via their respective API parameters (not available in the web playground yet). Reasonable scale values to explore are 0-5 for the presence and count penalties, and 0-500 for the frequency penalty.",https://docs.ai21.com/docs/repetition-penalties
The following example introduces all three penalties simultaneously (though each individually would have sufficed to prevent repetition):,https://docs.ai21.com/docs/repetition-penalties
"In addition to controlling the penalty scale, the API allows toggling penalties on and off for five special categories of tokens: whitespaces (including newlines), punctuations, numbers, stopwords (including multi-word combinations of stopwords) and emojis. For example:",https://docs.ai21.com/docs/repetition-penalties
Each repetition penalty is characterized by a PenaltyData data structure containing the following fields:,https://docs.ai21.com/docs/repetition-penalties
Controls the magnitude of the penalty. Required.,https://docs.ai21.com/docs/repetition-penalties
A positive penalty value implies reducing the probability of repetition. Larger values correspond to a stronger bias against repetition.,https://docs.ai21.com/docs/repetition-penalties
"Apply the penalty whitespaces and newlines. Optional, default=True.",https://docs.ai21.com/docs/repetition-penalties
Determines whether the penalty is applied to the following tokens:,https://docs.ai21.com/docs/repetition-penalties
